val_BLEU_4,epoch,train_loss,val_BLEU_1,val_BLEU_2,val_BLEU_3,val_ROUGE_L,val_CIDEr,test_BLEU_1,test_BLEU_2,test_BLEU_3,test_BLEU_4,test_ROUGE_L,test_CIDEr,time,seed,best_model_from
0.1340792618628475,4,2.986564584680506,0.378374336032139,0.2473240252058917,0.1783107152577785,0.3654307618780993,0.3298421698946912,0.4099918317535801,0.2688561908624017,0.1966526059727359,0.1497324305064899,0.3785730885935781,0.3943357287578032,Thu Feb 12 20:05:58 2026,9233,val
0.1340792618628475,4,2.986564584680506,0.378374336032139,0.2473240252058917,0.1783107152577785,0.3654307618780993,0.3298421698946912,0.4099918317535801,0.2688561908624017,0.1966526059727359,0.1497324305064899,0.3785730885935781,0.3943357287578032,Thu Feb 12 20:05:58 2026,9233,test
0.1391414820771795,4,2.6591923144793417,0.4049638544729945,0.2612143901481285,0.1862628368083349,0.3711268828185295,0.3560217765164887,0.4451479818946599,0.2862575656580325,0.206391251084094,0.1557221771684213,0.3850314913815853,0.4158707824291105,Sat Feb 14 05:26:55 2026,9233,val
0.1391414820771795,4,2.6591923144793417,0.4049638544729945,0.2612143901481285,0.1862628368083349,0.3711268828185295,0.3560217765164887,0.4451479818946599,0.2862575656580325,0.206391251084094,0.1557221771684213,0.3850314913815853,0.4158707824291105,Sat Feb 14 05:26:55 2026,9233,test
0.0845933758178398,14,2.306052855543188,0.2552621060875367,0.1570470416266934,0.1115651789554077,0.3162530503453922,0.3574172377489537,0.2988521600482771,0.1851997165420096,0.1334201376132513,0.1017485156458623,0.330466074663318,0.3855555850839295,Mon Feb 16 19:25:06 2026,9233,val
0.0845933758178398,14,2.306052855543188,0.2552621060875367,0.1570470416266934,0.1115651789554077,0.3162530503453922,0.3574172377489537,0.2988521600482771,0.1851997165420096,0.1334201376132513,0.1017485156458623,0.330466074663318,0.3855555850839295,Mon Feb 16 19:25:06 2026,9233,test
0.1232301350157322,10,2.35539377702249,0.3430566815575978,0.222864947356989,0.1623187262479262,0.336338551707285,0.384658193987365,0.3770808327952965,0.2470184453633728,0.1822973831859843,0.1406180898391067,0.3543466133281018,0.4034767188042752,Wed Feb 18 11:08:22 2026,9233,val
0.1232301350157322,10,2.35539377702249,0.3430566815575978,0.222864947356989,0.1623187262479262,0.336338551707285,0.384658193987365,0.3770808327952965,0.2470184453633728,0.1822973831859843,0.1406180898391067,0.3543466133281018,0.4034767188042752,Wed Feb 18 11:08:22 2026,9233,test
0.1371822125699541,5,2.199906472073559,0.3808659152562454,0.267659810657023,0.1912837746089407,0.3677925585079314,0.3339961236859484,0.4227636399037619,0.3005724916327793,0.2188484114481032,0.1598888554340668,0.3872047414753382,0.427381842488898,Wed Feb 18 17:45:14 2026,9233,val
0.1371822125699541,5,2.199906472073559,0.3808659152562454,0.267659810657023,0.1912837746089407,0.3677925585079314,0.3339961236859484,0.4227636399037619,0.3005724916327793,0.2188484114481032,0.1598888554340668,0.3872047414753382,0.427381842488898,Wed Feb 18 17:45:14 2026,9233,test
0.1360996649238785,3,1.740924134447768,0.4252384838737782,0.2748373602154576,0.1883160783019564,0.3531225259248572,0.3063707786660602,0.467179628961096,0.3031836812356039,0.2101887264736951,0.1551491715907035,0.371417496186587,0.4263070032965177,Thu Feb 19 08:26:59 2026,9233,val
0.1360996649238785,3,1.740924134447768,0.4252384838737782,0.2748373602154576,0.1883160783019564,0.3531225259248572,0.3063707786660602,0.467179628961096,0.3031836812356039,0.2101887264736951,0.1551491715907035,0.371417496186587,0.4263070032965177,Thu Feb 19 08:26:59 2026,9233,test
0.1125887601097803,7,2.75725887456916,0.2951160848925422,0.20235709136733915,0.14878448529340488,0.3407103825291231,0.25466920196626275,0.34576018257077445,0.23983030206590877,0.1769616756790707,0.1339641808171779,0.35706298444077755,0.30739055730255177,Fri Feb 20 04:54:53 2026,9233,val
0.1125887601097803,7,2.75725887456916,0.2951160848925422,0.20235709136733915,0.14878448529340488,0.3407103825291231,0.25466920196626275,0.34576018257077445,0.23983030206590877,0.1769616756790707,0.1339641808171779,0.35706298444077755,0.30739055730255177,Fri Feb 20 04:54:53 2026,9233,test
